,tweet_created,tweet_id,tweet,tweet_source
0,Tue Apr 18 08:11:29 +0000 2023,1648237803615158275,"📑 Check out a new bulletin «Activities of the Russian Federation Presidential Commissioner for Children’s Rights Maria Lvova-Belova to protect children during a special military operation» 

👉 Read in full: https://t.co/BE3uu42Gk3 https://t.co/nillaZcOSV",Twitter for iPhone
1,Tue Apr 18 00:46:33 +0000 2023,1648125832672718848,"HYBE expected activity plan Q4 2023

TXT - album/tour https://t.co/Wudi9Cndm8",Twitter for iPhone
2,Tue Apr 18 12:17:18 +0000 2023,1648299663408373761,"Perjalanan panjang mengarungi Liga 1 2022/2023 telah mencapai akhirnya. Tidak mudah tapi bukan berarti jadi halangan untuk terus berjuang hingga sampai di posisi kita sekarang ✊

#ToTheNextLevel #BelieveIn12 #PersijaJakarta https://t.co/S0cxgGsLl5",Twitter for iPhone
3,Mon Apr 17 05:31:27 +0000 2023,1647835139278528513,"A cool place in Jakarta is the basement of Block M Square.  In a chaotic maze of small shops and stalls you find a lot of used book shops, selling used &amp; antique books. Mostly Indonesian but also some very interesting English or Dutch books on Indonesia  1/3 https://t.co/p7PGOquq82",Twitter for iPhone
4,Tue Apr 18 13:32:09 +0000 2023,1648318500728102914,"Bismillah liat langsung woosung as howl ✨

Cr : pheobelilacsky https://t.co/TWxFgMfTQl",Twitter for iPhone
5,Sun Apr 16 07:34:21 +0000 2023,1647503683146633216,"Giveaway 1 Tiket Fanmeet WayV atau Cash 1.785.000 IDR 🐉💛

Retweet, like, follow me🔔
End tanggal 22 april🐉💛
#WayV_Phantom_in_JAKARTA https://t.co/J3iVYv7k5C",Twitter for Android
6,Tue Apr 18 10:38:12 +0000 2023,1648274725200711680,"Jakarta lives and breathes football ⚽

We visited Indonesia's capital to take a deep dive into the local culture and find out more about the country's football heritage 🇮🇩","<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>"
7,Tue Apr 18 12:06:36 +0000 2023,1648296972254855168,"Azumi Ishida mempersembahkan:
.
.
FLAG ALAY UNTUK SPOT FOTO DI #WayV_Phantom_in_JAKARTA WKWK
Ada freebies juga 1pcs photocard unofficial bias kamuh 💚❤️ https://t.co/axEWL5ELNi",Twitter for Android
8,Tue Apr 18 01:07:58 +0000 2023,1648131221866844162,OCTOBER AGAIN FOR ASM: JAKARTA??? 😭😭😭😭😭😭😭 https://t.co/vwjcuNDIRs,Twitter for iPhone
9,Tue Apr 18 09:50:16 +0000 2023,1648262660599988229,"𝘾𝙊𝙈𝙄𝙉𝙂 𝙎𝙊𝙊𝙉
-
Project 3rd Anniversary for Treasure

“𝙢𝙚, 𝙮𝙤𝙪 𝙖𝙣𝙙 𝙪𝙨”

📍Gallery Salihara, Jakarta
🗓 July 2023 https://t.co/M0YT4prJLe",Twitter for iPhone
10,Tue Apr 18 08:08:33 +0000 2023,1648237064197132289,"𝗧𝗢𝗞𝗬𝗢 | 𝗕𝗟𝗨𝗘 𝗧𝗘𝗔𝗠🔵 | 𝟬𝟳.𝟮𝟵(𝗦𝗔𝗧)  
独創的な世界観、無限のエナジー𝗔𝗧𝗘𝗘𝗭 
Let's burn🔥🔥   

*次のラインナップは4月25日午後5時に公開されます。 
*チームに関係なく、すべてのアーティストの公演観覧が可能です。  

📍チケットリンク | https://t.co/xuaWWSl2TC… https://t.co/BZJsgf2nFt",Twitter Web App
11,Tue Apr 18 03:06:36 +0000 2023,1648161074766831616,"URGENT NEED DONOR ASI JAKARTA TIMUR #DONORASI

Nama Ibu : Tatia Chairunnisa
Jenis Kelamin dan Usia Bayi Penerima Donor : Laki-laki, 11 hari
Agama : Islam
Domisili : Jakarta Timur
Alasan butuh donor ASIP : kembar 5, laki-laki, ibunya baru saja meninggal
No HP keluarga yg bisa… https://t.co/eoEgVf5m3l",Twitter for iPhone
